predicates,k,BASE_PRE_SEARCH_recall,BASE_POS_SEARCH_recall,ADAP_PRE_SEARCH_recall,ADAP_POS_SEARCH_recall,BASE_PRE_SEARCH_precision,BASE_POS_SEARCH_precision,ADAP_PRE_SEARCH_precision,ADAP_POS_SEARCH_precision,BASE_PRE_SEARCH_ndcg,BASE_POS_SEARCH_ndcg,ADAP_PRE_SEARCH_ndcg,ADAP_POS_SEARCH_ndcg,BASE_PRE_SEARCH_num_results,BASE_POS_SEARCH_num_results,ADAP_PRE_SEARCH_num_results,ADAP_POS_SEARCH_num_results
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",5000,0.6412,1.0,0.59,0.8654,0.6412,1.0,0.59,0.8654,0.7313048192031841,1.0,0.691075384166072,0.9041754850731922,5000,5000,5000,5000
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",6000,0.6008333333333333,1.0,0.6126666666666667,0.8886666666666667,0.6008333333333333,1.0,0.6126666666666667,0.8886666666666667,0.7000082340612633,1.0,0.7092762087600339,0.921504431098433,6000,6000,6000,6000
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",7000,0.5702857142857143,1.0,0.6451428571428571,0.9101428571428571,0.5702857142857143,1.0,0.6451428571428571,0.9101428571428571,0.6756048279851443,1.0,0.7361337656012962,0.9372005076122173,7000,7000,7000,7000
"[Predicate(key='token_count', value=85, operator='>='), Predicate(key='revdate', value='2025-02-18 13:04:59', operator='>=')]",10000,0.8975,1.0,0.7172,0.953,0.8975,1.0,0.7172,0.953,0.9294838032938357,1.0,0.7953666436310313,0.9682477342955987,10000,10000,10000,10000
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6596329434284461,0.6596329434284461,50,50,50,50
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",100,1.0,1.0,0.47,0.68,1.0,1.0,0.47,0.68,1.0,1.0,0.6278103548163841,0.7880615463346757,100,100,100,100
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",200,0.985,1.0,0.585,0.695,0.985,1.0,0.585,0.695,0.9909354936265755,1.0,0.7079995787771617,0.7902052177009024,200,200,200,200
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",500,0.94,1.0,0.584,0.716,0.94,1.0,0.584,0.716,0.9607813521027101,1.0,0.703045517798388,0.8073201508558941,500,500,500,500
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",1000,0.889,1.0,0.52,0.69,0.889,1.0,0.52,0.69,0.9228340285010633,1.0,0.6488438701743007,0.7790507796192114,1000,1000,1000,1000
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",2500,0.7696,1.0,0.5412,0.7328,0.7696,1.0,0.5412,0.7328,0.8325837069270298,1.0,0.6534446264669429,0.8055738450470297,2500,2500,2500,2500
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",5000,0.6488,1.0,0.5816,0.8398,0.6488,1.0,0.5816,0.8398,0.737093934187813,1.0,0.6843660584938023,0.8849081427817026,5000,5000,5000,5000
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",6000,0.6081666666666666,1.0,0.604,0.8621666666666666,0.6081666666666666,1.0,0.604,0.8621666666666666,0.7056760969365912,1.0,0.7022018374629765,0.9017822169295021,6000,6000,6000,6000
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",7000,0.5757142857142857,1.0,0.6354285714285715,0.8877142857142857,0.5757142857142857,1.0,0.6354285714285715,0.8877142857142857,0.6800743933629708,1.0,0.7286392270928951,0.9208943668181352,7000,7000,7000,7000
"[Predicate(key='token_count', value=90, operator='>='), Predicate(key='revdate', value='2025-02-18 09:28:15', operator='>=')]",10000,0.8994,1.0,0.7064,0.9378,0.8994,1.0,0.7064,0.9378,0.9309321963916181,1.0,0.785289069491193,0.9579015736185029,10000,10000,10000,10000
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9396113592214987,0.9396113592214987,10,10,10,10
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",50,1.0,1.0,0.52,0.52,1.0,1.0,0.52,0.52,1.0,1.0,0.6796277404875113,0.6796277404875113,50,50,50,50
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",100,1.0,1.0,0.42,0.75,1.0,1.0,0.42,0.75,1.0,1.0,0.5897791463955873,0.8367654610869717,100,100,100,100
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",200,0.975,1.0,0.535,0.815,0.975,1.0,0.535,0.815,0.9847467152391611,1.0,0.6746317601722394,0.8770553111487988,200,200,200,200
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",500,0.916,1.0,0.586,0.732,0.916,1.0,0.586,0.732,0.945153221353067,1.0,0.7094488206177365,0.8181547481992841,500,500,500,500
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",1000,0.867,1.0,0.503,0.74,0.867,1.0,0.503,0.74,0.9074265501340903,1.0,0.6373558109845545,0.8150567368133114,1000,1000,1000,1000
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",2500,0.7316,1.0,0.5484,0.8024,0.7316,1.0,0.5484,0.8024,0.8044707631966422,1.0,0.6606399196511932,0.857842677149586,2500,2500,2500,2500
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",5000,0.605,1.0,0.605,0.9106,0.605,1.0,0.605,0.9106,0.7044663829075446,1.0,0.7044663829075446,0.9370374962652124,5000,5000,5000,5000
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",6000,0.5711666666666667,1.0,0.643,0.9315,0.5711666666666667,1.0,0.643,0.9315,0.6770704525092237,1.0,0.7351774882396547,0.9527357850032075,6000,6000,6000,6000
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",7000,0.5425714285714286,1.0,0.6677142857142857,0.9504285714285714,0.5425714285714286,1.0,0.6677142857142857,0.9504285714285714,0.6540295219449346,1.0,0.755641868486695,0.9663342799061896,7000,7000,7000,7000
"[Predicate(key='token_count', value=101, operator='>='), Predicate(key='revdate', value='2025-02-18 20:27:31', operator='>=')]",10000,0.8853,1.0,0.7432,0.9831,0.8853,1.0,0.7432,0.9831,0.9218063203866977,1.0,0.8191335254375975,0.9890104497779348,10000,10000,10000,10000
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6596329434284461,0.6596329434284461,50,50,50,50
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",100,0.99,1.0,0.47,0.68,0.99,1.0,0.47,0.68,0.9942185696453062,1.0,0.6276614507966848,0.7878746339476476,100,100,100,100
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",200,0.98,1.0,0.59,0.705,0.98,1.0,0.59,0.705,0.9875098124668086,1.0,0.7103218565183569,0.7957423726544745,200,200,200,200
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",500,0.946,1.0,0.606,0.728,0.946,1.0,0.606,0.728,0.9640533731320636,1.0,0.7181221443179867,0.8123672142950882,500,500,500,500
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",1000,0.894,1.0,0.536,0.689,0.894,1.0,0.536,0.689,0.9259000105514027,1.0,0.6611504045468773,0.7784420167018048,1000,1000,1000,1000
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",2500,0.7772,1.0,0.5444,0.7036,0.7772,1.0,0.5444,0.7036,0.8379901289667372,1.0,0.6550496785556843,0.7839258719139804,2500,2500,2500,2500
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",5000,0.6586,1.0,0.562,0.8098,0.6586,1.0,0.562,0.8098,0.7443040297357619,1.0,0.6684259281898481,0.861309589141834,5000,5000,5000,5000
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",6000,0.6161666666666666,1.0,0.5948333333333333,0.8411666666666666,0.6161666666666666,1.0,0.5948333333333333,0.8411666666666666,0.7117990920185765,1.0,0.6945543953526278,0.8863253776676994,6000,6000,6000,6000
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",7000,0.5815714285714285,1.0,0.6195714285714286,0.8595714285714285,0.5815714285714285,1.0,0.6195714285714286,0.8595714285714285,0.6848211249388357,1.0,0.7152623514028958,0.9001377824523802,7000,7000,7000,7000
"[Predicate(key='token_count', value=95, operator='>='), Predicate(key='revdate', value='2025-02-18 05:17:43', operator='>=')]",10000,0.9052,1.0,0.6965,0.9169,0.9052,1.0,0.6965,0.9169,0.9342486284868043,1.0,0.7769362799846573,0.9425983249956156,10000,10000,10000,10000
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6582863987277965,0.6582863987277965,50,50,50,50
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",100,0.99,1.0,0.45,0.45,0.99,1.0,0.45,0.45,0.994277464858706,1.0,0.612519366040677,0.612519366040677,100,100,100,100
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",200,0.985,1.0,0.68,0.68,0.985,1.0,0.68,0.68,0.9905282889510981,1.0,0.776476696719319,0.776476696719319,200,200,200,200
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",500,0.944,1.0,0.498,0.73,0.944,1.0,0.498,0.73,0.9631311273722579,1.0,0.6307175148473021,0.8146326406364532,500,500,500,500
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",1000,0.897,1.0,0.531,0.679,0.897,1.0,0.531,0.679,0.9280904279659156,1.0,0.6587689466748111,0.7721760587941496,1000,1000,1000,1000
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",2500,0.7804,1.0,0.5456,0.6988,0.7804,1.0,0.5456,0.6988,0.8403561689616851,1.0,0.65673006941962,0.780358771736139,2500,2500,2500,2500
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",5000,0.6602,1.0,0.5558,0.786,0.6602,1.0,0.5558,0.786,0.7457308026243185,1.0,0.6639025425683095,0.8435485272184534,5000,5000,5000,5000
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",6000,0.6226666666666667,1.0,0.5823333333333334,0.8208333333333333,0.6226666666666667,1.0,0.5823333333333334,0.8208333333333333,0.7163555784023387,1.0,0.6847112331327087,0.8708166843762256,6000,6000,6000,6000
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",7000,0.5882857142857143,1.0,0.6032857142857143,0.8441428571428572,0.5882857142857143,1.0,0.6032857142857143,0.8441428571428572,0.6895305126168231,1.0,0.7015412774480758,0.8882222868303637,7000,7000,7000,7000
"[Predicate(key='token_count', value=110, operator='>='), Predicate(key='revdate', value='2025-02-18 01:49:28', operator='>=')]",10000,0.9074,1.0,0.6837,0.9037,0.9074,1.0,0.6837,0.9037,0.9355079273660316,1.0,0.7659833880501717,0.9328059194632619,10000,10000,10000,10000
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6582261730303202,0.6582261730303202,50,50,50,50
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",100,0.99,1.0,0.45,0.45,0.99,1.0,0.45,0.45,0.99428409614125,1.0,0.6121436395710335,0.6121436395710335,100,100,100,100
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",200,0.985,1.0,0.67,0.67,0.985,1.0,0.67,0.67,0.9905512452664997,1.0,0.7691929823370635,0.7691929823370635,200,200,200,200
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",500,0.938,1.0,0.494,0.722,0.938,1.0,0.494,0.722,0.9592085809678648,1.0,0.6265240455991481,0.8086395594895158,500,500,500,500
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",1000,0.9,1.0,0.536,0.671,0.9,1.0,0.536,0.671,0.9296048197893092,1.0,0.6617686211114164,0.7653610191742577,1000,1000,1000,1000
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",2500,0.7844,1.0,0.5472,0.6896,0.7844,1.0,0.5472,0.6896,0.8428770685021768,1.0,0.6573930306907263,0.7726410521743471,2500,2500,2500,2500
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",5000,0.6654,1.0,0.5532,0.7626,0.6654,1.0,0.5532,0.7626,0.7493744836056618,1.0,0.6614086802569696,0.824654746742621,5000,5000,5000,5000
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",6000,0.6311666666666667,1.0,0.5843333333333334,0.7926666666666666,0.6311666666666667,1.0,0.5843333333333334,0.7926666666666666,0.7221422649483163,1.0,0.6852152323952183,0.8484101211761078,6000,6000,6000,6000
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",7000,0.5952857142857143,1.0,0.6021428571428571,0.8285714285714286,0.5952857142857143,1.0,0.6021428571428571,0.8285714285714286,0.694445531267808,1.0,0.6997640966819829,0.8768701331750092,7000,7000,7000,7000
"[Predicate(key='token_count', value=115, operator='>='), Predicate(key='revdate', value='2025-02-17 22:06:14', operator='>=')]",10000,0.9076,1.0,0.6674,0.8855,0.9076,1.0,0.6674,0.8855,0.935663798390271,1.0,0.7536413754530857,0.91926232804906,10000,10000,10000,10000
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6582261730303202,0.6582261730303202,50,50,50,50
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",100,0.99,1.0,0.47,0.47,0.99,1.0,0.47,0.47,0.9942918099999499,1.0,0.6259835002312093,0.6259835002312093,100,100,100,100
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",200,0.985,1.0,0.655,0.655,0.985,1.0,0.655,0.655,0.9905831172552229,1.0,0.7593447146682323,0.7593447146682323,200,200,200,200
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",500,0.946,1.0,0.506,0.748,0.946,1.0,0.506,0.748,0.9641955514939138,1.0,0.6346893939927519,0.8258671367312193,500,500,500,500
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",1000,0.902,1.0,0.551,0.682,0.902,1.0,0.551,0.682,0.9310185994022676,1.0,0.6725202700782041,0.7725601462151434,1000,1000,1000,1000
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",2500,0.792,1.0,0.55,0.6912,0.792,1.0,0.55,0.6912,0.8485276868727484,1.0,0.6593947923730685,0.7739077469494045,2500,2500,2500,2500
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",5000,0.6766,1.0,0.5574,0.7548,0.6766,1.0,0.5574,0.7548,0.7578464481817897,1.0,0.6641773362524797,0.8182898286222531,5000,5000,5000,5000
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",6000,0.644,1.0,0.5803333333333334,0.7876666666666666,0.644,1.0,0.5803333333333334,0.7876666666666666,0.7317514757901583,1.0,0.6815677665259923,0.8440940191157068,6000,6000,6000,6000
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",7000,0.609,1.0,0.5975714285714285,0.8135714285714286,0.609,1.0,0.5975714285714285,0.8135714285714286,0.7047462028554509,1.0,0.6955541867647039,0.8652929695241147,7000,7000,7000,7000
"[Predicate(key='token_count', value=120, operator='>='), Predicate(key='revdate', value='2025-02-17 18:33:51', operator='>=')]",10000,0.9112,1.0,0.6638,0.8717,0.9112,1.0,0.6638,0.8717,0.9382017807935553,1.0,0.7506547413851559,0.9093111677956531,10000,10000,10000,10000
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.940997825520158,0.940997825520158,10,10,10,10
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6577879978574299,0.6577879978574299,50,50,50,50
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",100,0.99,1.0,0.46,0.46,0.99,1.0,0.46,0.46,0.9943187159610939,1.0,0.6179003475761367,0.6179003475761367,100,100,100,100
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",200,0.985,1.0,0.665,0.665,0.985,1.0,0.665,0.665,0.9906472947772703,1.0,0.7674122528927156,0.7674122528927156,200,200,200,200
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",500,0.958,1.0,0.53,0.736,0.958,1.0,0.53,0.736,0.9718306529831028,1.0,0.6531462698739929,0.8167504540608469,500,500,500,500
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",1000,0.908,1.0,0.565,0.687,0.908,1.0,0.565,0.687,0.9353647123476818,1.0,0.6834518014274321,0.7764118154346534,1000,1000,1000,1000
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",2500,0.7984,1.0,0.5548,0.6824,0.7984,1.0,0.5548,0.6824,0.8536510292351626,1.0,0.6635973795278493,0.7673854727031136,2500,2500,2500,2500
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",5000,0.6828,1.0,0.5628,0.7462,0.6828,1.0,0.5628,0.7462,0.7631773198718576,1.0,0.6691094545444559,0.8122858586224665,5000,5000,5000,5000
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",6000,0.6533333333333333,1.0,0.5788333333333333,0.7685,0.6533333333333333,1.0,0.5788333333333333,0.7685,0.7390952285513603,1.0,0.6802108429724979,0.8298129091331956,6000,6000,6000,6000
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",7000,0.6182857142857143,1.0,0.5977142857142858,0.7888571428571428,0.6182857142857143,1.0,0.5977142857142858,0.7888571428571428,0.7121444173879404,1.0,0.6954929930618168,0.8455295720906355,7000,7000,7000,7000
"[Predicate(key='token_count', value=130, operator='>='), Predicate(key='revdate', value='2025-02-17 15:11:37', operator='>=')]",10000,0.5443,1.0,0.6509,0.8553,0.5443,1.0,0.6509,0.8553,0.653662665213392,1.0,0.7399440910491101,0.8974135111656579,10000,10000,10000,10000
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9414927270333981,0.9414927270333981,10,10,10,10
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",50,1.0,1.0,0.48,0.48,1.0,1.0,0.48,0.48,1.0,1.0,0.6606954292781777,0.6606954292781777,50,50,50,50
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",100,0.99,1.0,0.47,0.47,0.99,1.0,0.47,0.47,0.9943507153840769,1.0,0.6271636122263241,0.6271636122263241,100,100,100,100
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",200,0.99,1.0,0.675,0.595,0.99,1.0,0.675,0.595,0.9936434224473414,1.0,0.7747603299004795,0.7159352499674719,200,200,200,200
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",500,0.964,1.0,0.536,0.736,0.964,1.0,0.536,0.736,0.9758568953773142,1.0,0.6582840233943084,0.8171691580217049,500,500,500,500
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",1000,0.909,1.0,0.567,0.689,0.909,1.0,0.567,0.689,0.9364510945644997,1.0,0.685328896146001,0.7781350935012947,1000,1000,1000,1000
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",2500,0.8028,1.0,0.56,0.682,0.8028,1.0,0.56,0.682,0.8570359948587049,1.0,0.6679344813650153,0.7672356656099063,2500,2500,2500,2500
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",5000,0.6874,1.0,0.5656,0.7434,0.6874,1.0,0.5656,0.7434,0.7667105031417017,1.0,0.6713568242531851,0.8101729464761656,5000,5000,5000,5000
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",6000,0.6585,1.0,0.5801666666666667,0.7703333333333333,0.6585,1.0,0.5801666666666667,0.7703333333333333,0.7429463910980156,1.0,0.6810223707320495,0.8311564104386174,6000,6000,6000,6000
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",7000,0.6242857142857143,1.0,0.5962857142857143,0.7915714285714286,0.6242857142857143,1.0,0.5962857142857143,0.7915714285714286,0.7165053656324061,1.0,0.6942456953572412,0.8475065392595307,7000,7000,7000,7000
"[Predicate(key='token_count', value=140, operator='>='), Predicate(key='revdate', value='2025-02-17 11:48:22', operator='>=')]",10000,0.5476,1.0,0.6522,0.8565,0.5476,1.0,0.6522,0.8565,0.6562595422052265,1.0,0.7409890627190281,0.8983002779505885,10000,10000,10000,10000
